technology_name,Technology_Description,Web_of_Science_Category,OECD_Research_Area,emerging_tech_concepts,applied_domain
Solid-state sulfide electrolyte battery,"A cell architecture replacing the liquid electrolyte with a sulfide-based solid conductor, permitting lithium-metal anodes and raising energy density while removing the flammability of conventional cells.","Energy & Fuels; Electrochemistry; Materials Science, Multidisciplinary",2.7 Environmental Engineering; 2.5 Materials Engineering; 1.4 Chemical Sciences,['Solid-state'],['Energy Grid']
Iron-air multi-day storage cell,"A reversible rusting cell that stores energy over days rather than hours using abundant iron and ambient air, targeting the seasonal balancing role that lithium chemistries cannot serve economically.","Energy & Fuels; Electrochemistry; Materials Science, Multidisciplinary",2.7 Environmental Engineering; 2.5 Materials Engineering; 1.4 Chemical Sciences,['Electrochemical'],['Energy Grid']
Vanadium-free organic flow battery,"A redox flow system using synthesised organic quinone electrolytes instead of vanadium, decoupling power from capacity while avoiding dependence on a constrained critical mineral.","Energy & Fuels; Electrochemistry; Materials Science, Multidisciplinary",2.7 Environmental Engineering; 2.5 Materials Engineering; 1.4 Chemical Sciences,"['Electrochemical', 'Bio-based']",['Energy Grid']
Graphene hybrid supercapacitor module,"A storage module pairing graphene electrodes with a pseudocapacitive layer, delivering very high cycle life and rapid charge acceptance for regenerative braking and grid frequency response.","Energy & Fuels; Electrochemistry; Materials Science, Multidisciplinary",2.7 Environmental Engineering; 2.5 Materials Engineering; 1.4 Chemical Sciences,"['Nano-structured', 'Electrochemical']",['Energy Grid']
Sodium-ion grid storage stack,"A stationary battery chemistry substituting sodium for lithium in the cathode and hard carbon in the anode, trading energy density for supply-chain resilience and lower cost per stored kilowatt-hour.","Energy & Fuels; Electrochemistry; Materials Science, Multidisciplinary",2.7 Environmental Engineering; 2.5 Materials Engineering; 1.4 Chemical Sciences,['Electrochemical'],['Energy Grid']
Thermophotovoltaic heat battery,"A system that stores energy as heat in molten silicon and recovers electricity through thermophotovoltaic cells, offering very high round-trip temperatures with no moving parts.","Energy & Fuels; Electrochemistry; Materials Science, Multidisciplinary",2.7 Environmental Engineering; 2.5 Materials Engineering; 1.4 Chemical Sciences,['Thermal'],['Energy Grid']
Self-healing solid electrolyte interphase,"An additive chemistry that continuously regenerates the passivation layer on lithium-metal anodes during cycling, suppressing dendrite growth and extending calendar life of high-density cells.","Energy & Fuels; Electrochemistry; Materials Science, Multidisciplinary",2.7 Environmental Engineering; 2.5 Materials Engineering; 1.4 Chemical Sciences,"['Solid-state', 'Controlled']",['Energy Grid']
Metal matrix composite additive printing,"An additive process that disperses ceramic reinforcement into a metal melt pool during deposition, producing parts with tailored stiffness and wear resistance that cannot be obtained from wrought alloys.","Materials Science, Multidisciplinary; Engineering, Manufacturing; Metallurgy & Metallurgical Engineering",2.5 Materials Engineering; 2.3 Mechanical Engineering; 2.10 Nano-technology,"['3D', 'Composite']",['Materials Smart']
In-situ melt-pool process monitoring,"A closed-loop system that images the melt pool at kilohertz rates during powder-bed fusion and adjusts laser parameters within the same layer, suppressing porosity without post-process inspection.","Materials Science, Multidisciplinary; Engineering, Manufacturing; Metallurgy & Metallurgical Engineering",2.5 Materials Engineering; 2.3 Mechanical Engineering; 2.10 Nano-technology,"['3D', 'Controlled', 'Precision']",['Materials Smart']
Multi-material gradient jetting,"A deposition method that varies composition continuously across a single printed part, producing functionally graded transitions between stiff and compliant regions with no bonded interface.","Materials Science, Multidisciplinary; Engineering, Manufacturing; Metallurgy & Metallurgical Engineering",2.5 Materials Engineering; 2.3 Mechanical Engineering; 2.10 Nano-technology,"['3D', 'Composite']",['Materials Smart']
High-entropy alloy powder feedstock,"A near-equiatomic multi-element alloy powder engineered for additive processing, retaining strength and oxidation resistance at temperatures where conventional superalloys begin to creep.","Materials Science, Multidisciplinary; Engineering, Manufacturing; Metallurgy & Metallurgical Engineering",2.5 Materials Engineering; 2.3 Mechanical Engineering; 2.10 Nano-technology,"['Composite', 'Precision']",['Materials Smart']
Self-healing polymer matrix laminate,"A structural laminate containing microvascular healing agent channels that autonomously seal matrix microcracks after impact, extending inspection intervals for composite airframes.","Materials Science, Multidisciplinary; Engineering, Manufacturing; Metallurgy & Metallurgical Engineering",2.5 Materials Engineering; 2.3 Mechanical Engineering; 2.10 Nano-technology,"['Composite', 'Self-healing']",['Materials Smart']
Programmable metamaterial lattice,"A printed lattice whose unit-cell geometry is tuned to produce negative Poisson ratios or directional stiffness, allowing mechanical response to be designed rather than inherited from the bulk material.","Materials Science, Multidisciplinary; Engineering, Manufacturing; Metallurgy & Metallurgical Engineering",2.5 Materials Engineering; 2.3 Mechanical Engineering; 2.10 Nano-technology,"['Nano-structured', 'Precision']",['Materials Smart']
Cold spray structural repair,"A solid-state deposition process that rebuilds damaged metal components by accelerating powder above critical velocity, restoring geometry without the heat-affected zone introduced by welding.","Materials Science, Multidisciplinary; Engineering, Manufacturing; Metallurgy & Metallurgical Engineering",2.5 Materials Engineering; 2.3 Mechanical Engineering; 2.10 Nano-technology,"['3D', 'Precision']",['Materials Smart']
Neuromorphic event-camera navigation,"A perception stack pairing event-based vision sensors with spiking networks, producing microsecond-latency obstacle response at a fraction of the power drawn by frame-based pipelines.","Robotics; Engineering, Electrical & Electronic; Computer Science, Artificial Intelligence",2.2 Electrical Engineering; 1.2 Computer and Information Sciences; 2.3 Mechanical Engineering,"['Autonomous', 'Neuromorphic']",['Mobility Autonomous']
Soft pneumatic manipulation gripper,"A compliant end effector that conforms to irregular objects through distributed pneumatic chambers, enabling handling of fragile and variable produce without per-item fixturing.","Robotics; Engineering, Electrical & Electronic; Computer Science, Artificial Intelligence",2.2 Electrical Engineering; 1.2 Computer and Information Sciences; 2.3 Mechanical Engineering,"['Soft', 'Autonomous']",['Mobility Autonomous']
Swarm task allocation middleware,A decentralised coordination layer that lets heterogeneous robot fleets bid for tasks locally and continue operating coherently when communication with the central planner is lost.,"Robotics; Engineering, Electrical & Electronic; Computer Science, Artificial Intelligence",2.2 Electrical Engineering; 1.2 Computer and Information Sciences; 2.3 Mechanical Engineering,"['Autonomous', 'Distributed']",['Mobility Autonomous']
Legged inspection platform for confined space,"A quadruped carrying gas and thermal sensing that traverses stairs and debris in industrial plants, replacing human entry into atmospheres that require confined-space permits.","Robotics; Engineering, Electrical & Electronic; Computer Science, Artificial Intelligence",2.2 Electrical Engineering; 1.2 Computer and Information Sciences; 2.3 Mechanical Engineering,['Autonomous'],['Mobility Autonomous']
Vision-language manipulation policy,"A control policy trained on paired language and demonstration data that maps free-form instructions to manipulation trajectories, allowing task changes without re-programming the cell.","Robotics; Engineering, Electrical & Electronic; Computer Science, Artificial Intelligence",2.2 Electrical Engineering; 1.2 Computer and Information Sciences; 2.3 Mechanical Engineering,"['Autonomous', 'Foundation-model']",['Mobility Autonomous']
Underwater docking autonomy stack,"A guidance system enabling uncrewed underwater vehicles to locate and enter a subsea charging station using acoustic and optical cues, extending mission duration without surface recovery.","Robotics; Engineering, Electrical & Electronic; Computer Science, Artificial Intelligence",2.2 Electrical Engineering; 1.2 Computer and Information Sciences; 2.3 Mechanical Engineering,"['Autonomous', 'Distributed']",['Mobility Autonomous']
Digital twin for fleet predictive control,"A continuously updated simulation of a deployed robot fleet that forecasts component degradation and reschedules missions before failure, closing the loop between operations and maintenance.","Robotics; Engineering, Electrical & Electronic; Computer Science, Artificial Intelligence",2.2 Electrical Engineering; 1.2 Computer and Information Sciences; 2.3 Mechanical Engineering,"['Autonomous', 'Distributed']",['Mobility Autonomous']
High-density flexible cortical array,"A thin-film electrode array that conforms to the cortical surface and records from thousands of sites with minimal glial response, supporting long-term neural interface stability.","Neurosciences; Engineering, Biomedical; Medical Informatics",3.1 Basic Medicine; 2.6 Medical Engineering; 1.2 Computer and Information Sciences,"['Neural', 'Implantable']",['Health Bio']
Focused ultrasound neuromodulation,"A technique that steers ultrasound to deep brain structures to reversibly modulate neural activity, offering targeted intervention without surgical implantation or ionising radiation.","Neurosciences; Engineering, Biomedical; Medical Informatics",3.1 Basic Medicine; 2.6 Medical Engineering; 1.2 Computer and Information Sciences,"['Neural', 'Non-invasive']",['Health Bio']
Speech decoding neural interface,"A decoder that reconstructs intended speech from cortical activity in real time, restoring communication for people whose motor pathways for articulation are severed.","Neurosciences; Engineering, Biomedical; Medical Informatics",3.1 Basic Medicine; 2.6 Medical Engineering; 1.2 Computer and Information Sciences,"['Neural', 'Implantable']",['Health Bio']
Closed-loop responsive neurostimulator,"An implanted device that detects pathological network signatures and delivers stimulation only when they appear, reducing total energy delivered compared with continuous open-loop stimulation.","Neurosciences; Engineering, Biomedical; Medical Informatics",3.1 Basic Medicine; 2.6 Medical Engineering; 1.2 Computer and Information Sciences,"['Neural', 'Implantable', 'Controlled']",['Health Bio']
Peripheral nerve bioelectronic cuff,"A cuff electrode that selectively records and stimulates fascicles within a peripheral nerve, enabling organ-targeted bioelectronic therapy as an alternative to systemic drugs.","Neurosciences; Engineering, Biomedical; Medical Informatics",3.1 Basic Medicine; 2.6 Medical Engineering; 1.2 Computer and Information Sciences,"['Neural', 'Implantable']",['Health Bio']
Wearable dry-electrode EEG headset,A consumer-grade headset using dry contacts and on-device artefact rejection to record usable electroencephalography outside the clinic for sleep and cognitive load monitoring.,"Neurosciences; Engineering, Biomedical; Medical Informatics",3.1 Basic Medicine; 2.6 Medical Engineering; 1.2 Computer and Information Sciences,"['Neural', 'Non-invasive']",['Health Bio']
Optogenetic retinal restoration vector,"A gene therapy that renders surviving retinal ganglion cells light-sensitive, paired with an image-projecting goggle to restore coarse visual perception in degenerative blindness.","Neurosciences; Engineering, Biomedical; Medical Informatics",3.1 Basic Medicine; 2.6 Medical Engineering; 1.2 Computer and Information Sciences,"['Neural', 'Genomic']",['Health Bio']
